plotID,stemNumberDensity,basalArea,biomass
SOAP_002,0.05000000000000001,13.607533689667,4.805392703992851
SOAP_003,0.0625,19.998534529726967,9.81254291571603
SOAP_004,0.17250000000000004,49.59447753653808,223.71414119919726
SOAP_006,0.0125,60.68009772353587,56.19116088608675
SOAP_007,0.18,23.043189414999432,33.639490340293165
SOAP_008,0.045000000000000005,31.85616184143629,15.083624415276832
SOAP_009,0.29000000000000004,21.982136131203564,37.227069536384846
SOAP_010,0.22000000000000003,4.9781284489702164,1.5218502815671482
SOAP_012,0.015000000000000001,16.752287570864468,6.408446802051776
SOAP_013,0.02,54.99672099374292,36.141325012180275
SOAP_015,0.15,120.6844388672846,91.14259938336255
SOAP_016,0.01,0.20773781421862508,0.059009767917709184
SOAP_017,0.32750000000000007,54.415035478976684,92.30099370840679
SOAP_018,0.027499999999999997,11.975319226494422,8.919771371143483
SOAP_019,0.0225,29.980689932105435,16.628354177509525
SOAP_020,0.6475,58.63505835072751,161.27768838606858
SOAP_021,0.0625,53.05060251961447,31.778335500216908
